key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple.store.description.0	Keep track of the foods recommended by Dr. Greger in his New York Times Bestselling book, "How Not to Die", and now his new book, "How Not to Diet".	Отслеживайте продукты питания, рекомендованные доктором Майклом Грегером в его книге Не сдохни! Еда в борьбе за жизнь, ставшей бестселлером по версии газеты The New York Times, а теперь еще и его новой книге Не сдохни на диете.		
	apple.store.description.1	The 21 Tweaks feature, based on "How Not to Diet", also provides a weight tracker. The weight tracker can use HealthKit to either save manually entered weight values or to read weight data from HealthKit enabled scales.	Функциональность 21 Уловка, основанная на книге Не сдохни на диете, также предоставляет трекер для контроля веса. Трекер веса может использовать приложение Здоровье, чтобы сохранять в нем данные по весу, введенные вручную, или чтобы читать данные по весу из таблиц приложения Здоровье.		
	apple.store.description.2	In the years of research required to create the more than a thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Спустя годы исследований, которые понадобились, чтобы создать более тысячи видео роликов, основанных на последних научных данных на сайте NutritionFacts.org, доктор Майкл Грегер, член Американского Колледжа Медицины Образа Жизни, составил список самых важных для здоровья продуктов питания, которые нужно включить в свой ежедневный рацион.		
	apple.store.description.3	Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day. He explains his rationale in his book "How Not to Die".	Приложение доктора Грегера Не Сдохни! предоставляет подробную информацию о самых здоровых продуктах питания и о размерах порций каждого из них в ежедневном рационе. Подробное обоснование можно найти в его книге Не сдохни! Еда в борьбе за жизнь.		
	apple.store.description.4	All his proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Вся прибыль с продаж его книг, DVD и публичных выступлений направляется в благотворительный фонд.		
	apple.store.description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org - это некомерческий, основанный на последних научных данных общественный сервис, предоставляемый доктором Грегером, который дает ежедневный обзор новейших исследований в области питания в коротких видеороликах. У доктора Грегера есть порядка тысячи видео, посвященных всевозможным аспектам здорового питания, новые видео и статьи публикуются каждый день.		
	apple.store.description.6	Like this app, everything on the website is both free of ads and free of charge.	Как и это приложение, вся информация на веб-сайте бесплатная и не содержит рекламы.		
	apple.store.description.7	Application level language selection, via Settings, requires iOS 13 or newer.	Чтобы выбрать язык приложения, вам понадобится установить iOS версии 13 или новее.		
	apple.store.promotion	Check out the Daily Dozen’s brand new functionality! Includes 21 Tweaks from the new book, "How Not to Diet".	Ознакомьтесь с новой функциональностью приложения Не сдохни! Она включает 21 уловку из новой книги Не сдохни на диете.		
	apple.store.subtitle	NutritionFacts.org	NutritionFacts.org	Must be a maximum of 30 characters	
android.store.title	apple.store.title	Dr. Greger’s Daily Dozen	Не сдохни! доктора Грегера	Must be a maximum of 30 characters	
	apple.store.whatsnew	Adds language support for language_name_here.	Добавлена языковая поддержка Русский.	Replace language_name_here with the translated language name for this translation.	
store.keywords	store.keywords	vegan, nutrition, food, vegetarian, health, healthy	веган, питание, еда, вегетарианский, здоровье, здоровый		
store.screen.0	store.screen.0	Eat. Track. Repeat. No calorie counting or macro tracking required.	Ешьте. Отслеживайте. Повторяйте. Не требует подсчета калорий или иного макроконтроля.		
store.screen.1	store.screen.1	All for free!	Все бесплатно!		
store.screen.2	store.screen.2	Eat delicious meals that include Daily Dozen foods.	Ешьте вкуснейшие блюда, включающие продукты из Не сдохни!		
store.screen.3	store.screen.3	Track your daily servings in the app.	Отслеживайте свои порции ежедневно в приложении.		
store.screen.4	store.screen.4	Repeat until healthy eating becomes second nature.	Повторяйте, пока здоровое питание не станет вашим вторым Я.		
store.screen.5	store.screen.5	Dr. Greger’s Daily Dozen It’s your regular routine that determines your long-term health. Download today!	Не сдохни! доктора Грегера - это рутинная привычка, определяющая ваше долгосрочное здоровье. Скачайте сегодня!		
android.store.description.0		Dr. Greger’s Daily Dozen details the healthiest foods and how many servings of each we should try to check off every day from his book "How Not Die"—now including the 21 Tweaks from "How Not to Diet"—weight-loss accelerators to help maximize our natural fat-burning capabilities.	Приложение доктора Грегера Не Сдохни! предоставляет подробную информацию о самых здоровых продуктах питания и о размерах порций каждого из них в ежедневном рационе на основе информации из книги Не сдохни! Еда в борьбе за жизнь—теперь оно включает 21 Уловку из книги Не сдохни на диете—акселераторы потери веса, помогающие использовать естественные возможности по сжиганию веса наиболее эффективно.		
android.store.description.1		All his proceeds from his books, DVDs, and speaking engagements is all donated to charity.	Вся прибыль с продаж его книг, DVD и публичных выступлений направляется в благотворительный фонд.		
android.store.description.2		NutritionFacts.org is a non-commercial, nonprofit, science-based public service provided by Dr. Greger, providing free daily updates on the latest in nutrition research via bite-sized videos. He has nearly a thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org - это некомерческий, основанный на последних научных данных общественный сервис, предоставляемый доктором Грегером, который дает ежедневный обзор новейших исследований в области питания в коротких видеороликах. У доктора Грегера есть порядка тысячи видео, посвященных всевозможным аспектам здорового питания, новые видео и статьи публикуются каждый день. Как и это приложение, вся информация на веб-сайте бесплатна и не содержит рекламы.		
android.store.whatsnew		Adds language support for language_name_here.	Добавлена языковая поддержка Русский.	Replace language_name_here with the translated language name for this translation.	
